Input.audio_url_c,Answer.EmotionClass.label,,ang,hap,neu,sad,total
130.wav,Neutral,,,,,,
131.wav,Neutral,,,,,,
132.wav,Sad,,,,,,
133.wav,Neutral,,,,,,
134.wav,Neutral,,,,,,
135.wav,Neutral,,,,,,
136.wav,Neutral,,,,,,
137.wav,Neutral,,,,,,
138.wav,Happy,,,,,,
139.wav,Sad,,,,,,
140.wav,Neutral,,,,,,
141.wav,Sad,,,,,,
142.wav,Neutral,,,,,,
143.wav,Happy,,,,,,
144.wav,Neutral,,,,,,
145.wav,Angry,,,,,,
146.wav,Sad,,,,,,
147.wav,Happy,,,,,,
148.wav,Angry,,,,,,
149.wav,Neutral,,,,,,
150.wav,Neutral,,,,,,
151.wav,Happy,,,,,,
152.wav,Neutral,,,,,,
153.wav,Neutral,,,,,,
154.wav,Neutral,,,,,,
155.wav,Sad,,,,,,
156.wav,Neutral,,,,,,
157.wav,Angry,,,,,,
158.wav,Angry,,,,,,
159.wav,Neutral,,,,,,
160.wav,Happy,,,,,,
161.wav,Neutral,,,,,,
162.wav,Neutral,,,,,,
163.wav,Angry,,,,,,
164.wav,Neutral,,,,,,
165.wav,Neutral,,,,,,
166.wav,Neutral,,,,,,
167.wav,Neutral,,,,,,
168.wav,Neutral,,,,,,
169.wav,Sad,,,,,,
170.wav,Neutral,,,,,,
171.wav,Sad,,,,,,
172.wav,Neutral,,,,,,
173.wav,Neutral,,,,,,
174.wav,Neutral,,,,,,
175.wav,Neutral,,,,,,
176.wav,Neutral,,,,,,
177.wav,Sad,,,,,,
178.wav,Happy,,,,,,
179.wav,Neutral,,,,,,
180.wav,Happy,,,,,,
181.wav,Happy,,,,,,
182.wav,Angry,,,,,,
183.wav,Angry,,,,,,
184.wav,Neutral,,,,,,
185.wav,Happy,,,,,,
186.wav,Neutral,,,,,,
187.wav,Sad,,,,,,
188.wav,Neutral,,,,,,
189.wav,Neutral,,,,,,
190.wav,Neutral,,,,,,
191.wav,Happy,,,,,,
192.wav,Neutral,,,,,,
193.wav,Neutral,,,,,,
194.wav,Neutral,,,,,,
195.wav,Angry,,,,,,
196.wav,Neutral,,,,,,
197.wav,Sad,,,,,,
198.wav,Neutral,,,,,,
199.wav,Neutral,,,,,,
200.wav,Neutral,,,,,,
201.wav,Neutral,,,,,,
202.wav,Neutral,,,,,,
203.wav,Neutral,,,,,,
204.wav,Neutral,,,,,,
205.wav,Neutral,,,,,,
206.wav,Neutral,,,,,,
207.wav,Neutral,,,,,,
208.wav,Neutral,,,,,,
209.wav,Neutral,,,,,,
210.wav,Neutral,,,,,,
211.wav,Happy,,,,,,
212.wav,Neutral,,,,,,
213.wav,Neutral,,,,,,
214.wav,Sad,,,,,,
215.wav,Neutral,,,,,,
216.wav,Neutral,,,,,,
217.wav,Neutral,,,,,,
218.wav,Angry,,,,,,
219.wav,Sad,,,,,,
220.wav,Neutral,,,,,,
221.wav,Neutral,,,,,,
222.wav,Neutral,,,,,,
223.wav,Happy,,,,,,
224.wav,Sad,,,,,,
225.wav,Angry,,,,,,
226.wav,Neutral,,,,,,
227.wav,Neutral,,,,,,
228.wav,Neutral,,,,,,
229.wav,Neutral,,,,,,
230.wav,Neutral,,,,,,
231.wav,Happy,,,,,,
232.wav,Neutral,,,,,,
233.wav,Angry,,,,,,
234.wav,Angry,,,,,,
235.wav,Neutral,,,,,,
236.wav,Neutral,,,,,,
237.wav,Angry,,,,,,
238.wav,Neutral,,,,,,
239.wav,Neutral,,,,,,
240.wav,Neutral,,,,,,
241.wav,Neutral,,,,,,
242.wav,Neutral,,,,,,
243.wav,Neutral,,,,,,
244.wav,Neutral,,,,,,
245.wav,Neutral,,,,,,
246.wav,Neutral,,,,,,
247.wav,Neutral,,,,,,
248.wav,Neutral,,,,,,
249.wav,Neutral,,,,,,
250.wav,Neutral,,,,,,
251.wav,Happy,,,,,,
252.wav,Sad,,,,,,
253.wav,Neutral,,,,,,
254.wav,Neutral,,,,,,
255.wav,Sad,,,,,,
256.wav,Happy,,,,,,
257.wav,Neutral,,,,,,
258.wav,Sad,,,,,,
259.wav,Sad,,,,,,
260.wav,Happy,,,,,,
261.wav,Sad,,,,,,
262.wav,Sad,,,,,,
263.wav,Neutral,,,,,,
264.wav,Happy,,,,,,
265.wav,Neutral,,,,,,
266.wav,Neutral,,,,,,
267.wav,Neutral,,,,,,
268.wav,Angry,,,,,,
269.wav,Neutral,,,,,,
270.wav,Happy,,,,,,
271.wav,Happy,,,,,,
272.wav,Sad,,,,,,
273.wav,Neutral,,,,,,
274.wav,Neutral,,,,,,
275.wav,Neutral,,,,,,
276.wav,Sad,,,,,,
277.wav,Angry,,,,,,
278.wav,Happy,,,,,,
279.wav,Happy,,,,,,
280.wav,Neutral,,,,,,
281.wav,Neutral,,,,,,
282.wav,Happy,,,,,,
283.wav,Angry,,,,,,
284.wav,Neutral,,,,,,
285.wav,Happy,,,,,,
286.wav,Neutral,,,,,,
287.wav,Happy,,,,,,
288.wav,Neutral,,,,,,
289.wav,Happy,,,,,,
290.wav,Neutral,,,,,,
291.wav,Sad,,,,,,
292.wav,Sad,,,,,,
293.wav,Neutral,,,,,,
294.wav,Angry,,,,,,
295.wav,Neutral,,,,,,
296.wav,Happy,,,,,,
297.wav,Sad,,,,,,
298.wav,Sad,,,,,,
299.wav,Angry,,,,,,
300.wav,Happy,,,,,,
301.wav,Neutral,,,,,,
302.wav,Angry,,,,,,
303.wav,Neutral,,,,,,
304.wav,Neutral,,,,,,
305.wav,Sad,,,,,,
306.wav,Sad,,,,,,
307.wav,Sad,,,,,,
308.wav,Angry,,,,,,
309.wav,Sad,,,,,,
310.wav,Neutral,,,,,,
311.wav,Angry,,,,,,
312.wav,Neutral,,,,,,
313.wav,Happy,,,,,,
314.wav,Neutral,,,,,,
315.wav,Sad,,,,,,
316.wav,Neutral,,,,,,
317.wav,Angry,,,,,,
318.wav,Happy,,,,,,
319.wav,Sad,,,,,,
320.wav,Sad,,,,,,
321.wav,Neutral,,,,,,
322.wav,Sad,,,,,,
323.wav,Sad,,,,,,
