A2NYHRY8ELO4FW,100.wav,Happy,,,,,,,,,,,,
A33GX3JAEX2RCI,1000.wav,Neutral,,,,,,,,,,,,
A33GX3JAEX2RCI,1001.wav,Neutral,,,,,,,,,,,,
A33GX3JAEX2RCI,1002.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,1003.wav,Angry,,,,,,,,ang,hap,neu,sad,total
A26TZ64LX83X43,1032.wav,Neutral,,,,,,,,,,,,
AKB82TCYUECWD,1033.wav,Sad,,,,,,,,,,,,
A15AC48EPUVZIK,1034.wav,Sad,,,,,,,,,,,,
A211CEBWXYYT7F,1035.wav,Neutral,,,,,,,,,,,,
A211CEBWXYYT7F,1036.wav,Sad,,,,,,,,,,,,
A211CEBWXYYT7F,1037.wav,Happy,,,,,,,,,,,,
A1HNR6OIRFCEHS,1038.wav,Neutral,,,,,,,,,,,,
A75NFL7PFMSC4,1039.wav,Neutral,,,,,,,,,,,,
A211CEBWXYYT7F,104.wav,Neutral,,,,,,,,,,,,
A30BPQ2QGZOXN8,1040.wav,Neutral,,,,,,,,,,,,
A1HNR6OIRFCEHS,1041.wav,Neutral,,,,,,,,,,,,
A30BPQ2QGZOXN8,1042.wav,Sad,,,,,,,,,,,,
A15AC48EPUVZIK,105.wav,Happy,,,,,,,,,,,,
A3AELT3Y5E6X7U,106.wav,Neutral,,,,,,,,,,,,
A19QK6E0OXZ5R6,107.wav,Neutral,,,,,,,,,,,,
A211CEBWXYYT7F,108.wav,Happy,,,,,,,,,,,,
A3AELT3Y5E6X7U,109.wav,Angry,,,,,,,,,,,,
A33GX3JAEX2RCI,110.wav,Angry,,,,,,,,,,,,
A15AC48EPUVZIK,111.wav,Happy,,,,,,,,,,,,
AKB82TCYUECWD,112.wav,Angry,,,,,,,,,,,,
A3UHIHEGRJPS5T,113.wav,Neutral,,,,,,,,,,,,
A3PABOW1OQ9MX1,114.wav,Happy,,,,,,,,,,,,
A211CEBWXYYT7F,115.wav,Happy,,,,,,,,,,,,
A2MF659IGL53YO,116.wav,Happy,,,,,,,,,,,,
A3UHIHEGRJPS5T,117.wav,Angry,,,,,,,,,,,,
A19QK6E0OXZ5R6,118.wav,Happy,,,,,,,,,,,,
AKB82TCYUECWD,119.wav,Happy,,,,,,,,,,,,
AKB82TCYUECWD,120.wav,Happy,,,,,,,,,,,,
A3PABOW1OQ9MX1,121.wav,Neutral,,,,,,,,,,,,
A1OBG6AL81U5EX,122.wav,Happy,,,,,,,,,,,,
A15AC48EPUVZIK,123.wav,Happy,,,,,,,,,,,,
A2LBAZV6DEQ5G6,124.wav,Happy,,,,,,,,,,,,
A1HNR6OIRFCEHS,125.wav,Neutral,,,,,,,,,,,,
A2LBAZV6DEQ5G6,126.wav,Happy,,,,,,,,,,,,
A15AC48EPUVZIK,127.wav,Happy,,,,,,,,,,,,
A19QK6E0OXZ5R6,128.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,129.wav,Happy,,,,,,,,,,,,
A2NYHRY8ELO4FW,130.wav,Happy,,,,,,,,,,,,
A3PABOW1OQ9MX1,131.wav,Neutral,,,,,,,,,,,,
A24DTU9HOGIJC1,132.wav,Neutral,,,,,,,,,,,,
A2EELTS09HUTSF,133.wav,Neutral,,,,,,,,,,,,
A211CEBWXYYT7F,134.wav,Neutral,,,,,,,,,,,,
A3V8LIMUUJWUTL,135.wav,Neutral,,,,,,,,,,,,
AA4R2A67ZG8B7,136.wav,Neutral,,,,,,,,,,,,
A1HNR6OIRFCEHS,137.wav,Happy,,,,,,,,,,,,
A8PCFV53E7C9M,138.wav,Happy,,,,,,,,,,,,
A2NYHRY8ELO4FW,139.wav,Happy,,,,,,,,,,,,
A15AC48EPUVZIK,140.wav,Happy,,,,,,,,,,,,
A19QK6E0OXZ5R6,141.wav,Neutral,,,,,,,,,,,,
A19VF0AVOVX8K3,142.wav,Angry,,,,,,,,,,,,
AKB82TCYUECWD,143.wav,Sad,,,,,,,,,,,,
A3UHIHEGRJPS5T,144.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,145.wav,Neutral,,,,,,,,,,,,
A1HNR6OIRFCEHS,146.wav,Happy,,,,,,,,,,,,
A15AC48EPUVZIK,147.wav,Happy,,,,,,,,,,,,
A8PCFV53E7C9M,148.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,149.wav,Happy,,,,,,,,,,,,
A3V8LIMUUJWUTL,150.wav,Happy,,,,,,,,,,,,
A2VIJIP92R2BWD,151.wav,Happy,,,,,,,,,,,,
A3PABOW1OQ9MX1,152.wav,Neutral,,,,,,,,,,,,
A110SRJXQW7KMQ,153.wav,Neutral,,,,,,,,,,,,
A1HNR6OIRFCEHS,154.wav,Happy,,,,,,,,,,,,
A3PABOW1OQ9MX1,155.wav,Neutral,,,,,,,,,,,,
A3PABOW1OQ9MX1,156.wav,Neutral,,,,,,,,,,,,
A33GX3JAEX2RCI,157.wav,Angry,,,,,,,,,,,,
A33GX3JAEX2RCI,158.wav,Neutral,,,,,,,,,,,,
A19QK6E0OXZ5R6,159.wav,Neutral,,,,,,,,,,,,
A19QK6E0OXZ5R6,243.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,244.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,245.wav,Sad,,,,,,,,,,,,
A3AELT3Y5E6X7U,246.wav,Neutral,,,,,,,,,,,,
A3AELT3Y5E6X7U,247.wav,Sad,,,,,,,,,,,,
A2NYHRY8ELO4FW,248.wav,Neutral,,,,,,,,,,,,
A110SRJXQW7KMQ,249.wav,Neutral,,,,,,,,,,,,
A2NYHRY8ELO4FW,250.wav,Neutral,,,,,,,,,,,,
A3UHIHEGRJPS5T,251.wav,Neutral,,,,,,,,,,,,
A1TB27CSKHRH4D,252.wav,Neutral,,,,,,,,,,,,
A2NYHRY8ELO4FW,253.wav,Neutral,,,,,,,,,,,,
AKB82TCYUECWD,254.wav,Neutral,,,,,,,,,,,,
A1HNR6OIRFCEHS,255.wav,Sad,,,,,,,,,,,,
A1OBG6AL81U5EX,256.wav,Neutral,,,,,,,,,,,,
A1POKWI36A5ET7,257.wav,Neutral,,,,,,,,,,,,
AKB82TCYUECWD,258.wav,Neutral,,,,,,,,,,,,
A2NYHRY8ELO4FW,259.wav,Neutral,,,,,,,,,,,,
A2N4XFRCBWHT3V,260.wav,Neutral,,,,,,,,,,,,
A30BPQ2QGZOXN8,261.wav,Neutral,,,,,,,,,,,,
A3PABOW1OQ9MX1,262.wav,Neutral,,,,,,,,,,,,
A211CEBWXYYT7F,263.wav,Happy,,,,,,,,,,,,
A1HNR6OIRFCEHS,264.wav,Neutral,,,,,,,,,,,,
A1HNR6OIRFCEHS,265.wav,Angry,,,,,,,,,,,,
A3V8LIMUUJWUTL,266.wav,Neutral,,,,,,,,,,,,
A33GX3JAEX2RCI,267.wav,Neutral,,,,,,,,,,,,
A2VQJP2NB4L3G9,268.wav,Neutral,,,,,,,,,,,,
A8PCFV53E7C9M,269.wav,Neutral,,,,,,,,,,,,
A110SRJXQW7KMQ,270.wav,Sad,,,,,,,,,,,,
AKB82TCYUECWD,271.wav,Neutral,,,,,,,,,,,,
A2VQJP2NB4L3G9,272.wav,Neutral,,,,,,,,,,,,
AKB82TCYUECWD,273.wav,Neutral,,,,,,,,,,,,
A3V8LIMUUJWUTL,274.wav,Neutral,,,,,,,,,,,,
A16YZUXH451JGK,275.wav,Neutral,,,,,,,,,,,,
AKB82TCYUECWD,276.wav,Neutral,,,,,,,,,,,,
A3PABOW1OQ9MX1,277.wav,Neutral,,,,,,,,,,,,
A1GKEEI844CEKI,278.wav,Neutral,,,,,,,,,,,,
A3PABOW1OQ9MX1,279.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,280.wav,Angry,,,,,,,,,,,,
AKB82TCYUECWD,281.wav,Neutral,,,,,,,,,,,,
A3V8LIMUUJWUTL,282.wav,Neutral,,,,,,,,,,,,
AKB82TCYUECWD,283.wav,Happy,,,,,,,,,,,,
A3V8LIMUUJWUTL,284.wav,Neutral,,,,,,,,,,,,
A3UHIHEGRJPS5T,285.wav,Happy,,,,,,,,,,,,
A3UHIHEGRJPS5T,314.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,315.wav,Sad,,,,,,,,,,,,
A75NFL7PFMSC4,316.wav,Angry,,,,,,,,,,,,
A15AC48EPUVZIK,317.wav,Sad,,,,,,,,,,,,
A2N4XFRCBWHT3V,318.wav,Angry,,,,,,,,,,,,
A2MEZ5K2ATJF6D,319.wav,Sad,,,,,,,,,,,,
A2VIJIP92R2BWD,320.wav,Happy,,,,,,,,,,,,
A75NFL7PFMSC4,321.wav,Happy,,,,,,,,,,,,
A2EELTS09HUTSF,322.wav,Happy,,,,,,,,,,,,
A8PCFV53E7C9M,323.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,324.wav,Neutral,,,,,,,,,,,,
A2NYHRY8ELO4FW,325.wav,Angry,,,,,,,,,,,,
A3PABOW1OQ9MX1,326.wav,Happy,,,,,,,,,,,,
A3PABOW1OQ9MX1,327.wav,Neutral,,,,,,,,,,,,
A3AELT3Y5E6X7U,414.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,415.wav,Sad,,,,,,,,,,,,
A3AELT3Y5E6X7U,416.wav,Sad,,,,,,,,,,,,
A3V8LIMUUJWUTL,417.wav,Angry,,,,,,,,,,,,
A3PABOW1OQ9MX1,418.wav,Neutral,,,,,,,,,,,,
A2VQJP2NB4L3G9,419.wav,Sad,,,,,,,,,,,,
A9YC3F3MGUABZ,420.wav,Neutral,,,,,,,,,,,,
A3V8LIMUUJWUTL,421.wav,Happy,,,,,,,,,,,,
A10CYIL141IBZT,422.wav,Sad,,,,,,,,,,,,
A33GX3JAEX2RCI,423.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,424.wav,Neutral,,,,,,,,,,,,
AKB82TCYUECWD,425.wav,Neutral,,,,,,,,,,,,
A33GX3JAEX2RCI,426.wav,Angry,,,,,,,,,,,,
A3V8LIMUUJWUTL,427.wav,Sad,,,,,,,,,,,,
A33GX3JAEX2RCI,514.wav,Neutral,,,,,,,,,,,,
A2VQJP2NB4L3G9,515.wav,Angry,,,,,,,,,,,,
A3M0EFTD1J2GZY,516.wav,Neutral,,,,,,,,,,,,
A3PABOW1OQ9MX1,517.wav,Neutral,,,,,,,,,,,,
A2VIJIP92R2BWD,518.wav,Neutral,,,,,,,,,,,,
A2NYHRY8ELO4FW,519.wav,Sad,,,,,,,,,,,,
A8PCFV53E7C9M,520.wav,Happy,,,,,,,,,,,,
A8PCFV53E7C9M,521.wav,Neutral,,,,,,,,,,,,
A19VF0AVOVX8K3,522.wav,Sad,,,,,,,,,,,,
A3PABOW1OQ9MX1,523.wav,Neutral,,,,,,,,,,,,
A211CEBWXYYT7F,524.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,525.wav,Happy,,,,,,,,,,,,
A211CEBWXYYT7F,526.wav,Sad,,,,,,,,,,,,
AA4R2A67ZG8B7,527.wav,Sad,,,,,,,,,,,,
A3V8LIMUUJWUTL,6100.wav,Neutral,,,,,,,,,,,,
A30BPQ2QGZOXN8,6101.wav,Sad,,,,,,,,,,,,
A2NYHRY8ELO4FW,6102.wav,Neutral,,,,,,,,,,,,
AKB82TCYUECWD,6103.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,6104.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,6105.wav,Sad,,,,,,,,,,,,
A1HNR6OIRFCEHS,6106.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,6107.wav,Neutral,,,,,,,,,,,,
A19QK6E0OXZ5R6,6108.wav,Sad,,,,,,,,,,,,
A16YZUXH451JGK,6109.wav,Neutral,,,,,,,,,,,,
A19QK6E0OXZ5R6,6110.wav,Neutral,,,,,,,,,,,,
A75NFL7PFMSC4,6111.wav,Neutral,,,,,,,,,,,,
A1HNR6OIRFCEHS,6112.wav,Neutral,,,,,,,,,,,,
A211CEBWXYYT7F,6113.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,6114.wav,Happy,,,,,,,,,,,,
A3PABOW1OQ9MX1,6115.wav,Neutral,,,,,,,,,,,,
A3V8LIMUUJWUTL,6116.wav,Happy,,,,,,,,,,,,
A19VF0AVOVX8K3,6117.wav,Neutral,,,,,,,,,,,,
A9YC3F3MGUABZ,6118.wav,Neutral,,,,,,,,,,,,
A19QK6E0OXZ5R6,6119.wav,Angry,,,,,,,,,,,,
A33GX3JAEX2RCI,6120.wav,Sad,,,,,,,,,,,,
A2VQJP2NB4L3G9,6121.wav,Neutral,,,,,,,,,,,,
A211CEBWXYYT7F,6122.wav,Neutral,,,,,,,,,,,,
A2VIJIP92R2BWD,6123.wav,Happy,,,,,,,,,,,,
A24DTU9HOGIJC1,6124.wav,Neutral,,,,,,,,,,,,
A211CEBWXYYT7F,6125.wav,Neutral,,,,,,,,,,,,
A1GKEEI844CEKI,6126.wav,Angry,,,,,,,,,,,,
A15AC48EPUVZIK,6127.wav,Angry,,,,,,,,,,,,
A2NYHRY8ELO4FW,6128.wav,Neutral,,,,,,,,,,,,
A211CEBWXYYT7F,6129.wav,Sad,,,,,,,,,,,,
A24DTU9HOGIJC1,6130.wav,Neutral,,,,,,,,,,,,
A3AELT3Y5E6X7U,6131.wav,Sad,,,,,,,,,,,,
A3V8LIMUUJWUTL,6132.wav,Neutral,,,,,,,,,,,,
A3AELT3Y5E6X7U,6133.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,6134.wav,Sad,,,,,,,,,,,,
A19QK6E0OXZ5R6,6135.wav,Neutral,,,,,,,,,,,,
A3AELT3Y5E6X7U,6136.wav,Sad,,,,,,,,,,,,
A211CEBWXYYT7F,6137.wav,Angry,,,,,,,,,,,,
A8PCFV53E7C9M,6138.wav,Neutral,,,,,,,,,,,,
A3V8LIMUUJWUTL,6139.wav,Neutral,,,,,,,,,,,,
A1OBG6AL81U5EX,6140.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,6141.wav,Neutral,,,,,,,,,,,,
A75NFL7PFMSC4,6142.wav,Sad,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
A1HNR6OIRFCEHS,96.wav,Neutral,,,,,,,,,,,,
A211CEBWXYYT7F,97.wav,Happy,,,,,,,,,,,,
A19QK6E0OXZ5R6,98.wav,Neutral,,,,,,,,,,,,
A75NFL7PFMSC4,99.wav,Sad,,,,,,,,,,,,
WorkerId,Input.audio_url,Answer.audio-emotion.label,,,,,,,,,,,,
