audio_url_c,audio_url_gt1,audio_url_gt2,audio_url_gt3
054.wav,Ses01M_script01_3_F001.wav,Ses01M_script01_3_F014.wav,Ses01M_impro06_F008.wav
055.wav,Ses01M_script01_3_F004.wav,Ses01M_script01_3_F015.wav,Ses01M_impro06_F009.wav
056.wav,Ses01M_script01_3_F008.wav,Ses01M_script01_3_F024.wav,Ses01M_impro06_F010.wav
057.wav,Ses01M_script01_3_F012.wav,Ses01M_script01_3_F025.wav,Ses01M_impro06_F011.wav
058.wav,Ses01M_script01_3_F014.wav,Ses01M_script01_3_F026.wav,Ses01M_impro06_F012.wav
059.wav,Ses01M_script01_3_F015.wav,Ses01M_script02_1_F007.wav,Ses01M_impro06_F013.wav
060.wav,Ses01M_script01_3_F024.wav,Ses01M_script02_1_F008.wav,Ses01M_impro06_F014.wav
061.wav,Ses01M_script01_3_F025.wav,Ses01M_impro06_F011.wav,Ses01M_impro06_F015.wav
062.wav,Ses01M_script01_3_F026.wav,Ses01M_impro06_F012.wav,Ses01M_impro06_F016.wav
063.wav,Ses01M_script02_1_F007.wav,Ses01M_impro06_F013.wav,Ses01M_impro06_F017.wav
064.wav,Ses01M_script02_1_F008.wav,Ses01M_impro06_F014.wav,Ses01M_impro06_F018.wav
065.wav,Ses01M_script02_2_F000.wav,Ses01M_impro06_F015.wav,Ses01M_impro06_F019.wav
066.wav,Ses01M_script02_2_F019.wav,Ses01M_impro06_F016.wav,Ses01M_impro06_F020.wav
067.wav,Ses01M_script02_2_F022.wav,Ses01M_impro06_F017.wav,Ses01M_impro06_F021.wav
068.wav,Ses01M_script02_2_F024.wav,Ses01M_impro06_F018.wav,Ses01M_impro06_F022.wav
069.wav,Ses01M_script02_2_F025.wav,Ses01M_impro06_F019.wav,Ses01M_impro06_F023.wav
070.wav,Ses01M_script02_2_F026.wav,Ses01M_impro06_F020.wav,Ses01M_impro06_F024.wav
071.wav,Ses01M_script02_2_F033.wav,Ses01M_impro06_F021.wav,Ses01M_impro06_F025.wav
072.wav,Ses01M_script02_2_F034.wav,Ses01M_impro06_F022.wav,Ses01M_impro06_F026.wav
073.wav,Ses01M_script02_2_F035.wav,Ses01M_impro06_F023.wav,Ses01M_impro06_F027.wav
074.wav,Ses01M_script02_2_F036.wav,Ses01M_impro06_F024.wav,Ses01M_impro06_F028.wav
075.wav,Ses01M_script02_2_F037.wav,Ses01M_impro06_F025.wav,Ses01M_impro07_F000.wav
076.wav,Ses01M_script02_2_F040.wav,Ses01M_impro06_F026.wav,Ses01M_impro07_F001.wav
077.wav,Ses01M_script02_2_F046.wav,Ses01M_impro06_F027.wav,Ses01M_impro07_F003.wav
078.wav,Ses01M_script02_2_F047.wav,Ses01M_impro06_F028.wav,Ses01M_impro07_F004.wav
079.wav,Ses01M_script03_1_F007.wav,Ses01M_impro07_F000.wav,Ses01M_impro07_F005.wav
080.wav,Ses01M_script03_1_F031.wav,Ses01M_impro07_F001.wav,Ses01M_impro07_F006.wav
081.wav,Ses01M_script03_1_F036.wav,Ses01M_impro07_F003.wav,Ses01M_impro07_F007.wav
082.wav,Ses01M_script03_1_F037.wav,Ses01M_impro07_F004.wav,Ses01M_impro07_F008.wav
083.wav,Ses01M_script03_1_F038.wav,Ses01M_impro07_F005.wav,Ses01M_impro07_F009.wav
084.wav,Ses01M_script03_1_F039.wav,Ses01M_impro07_F006.wav,Ses01M_impro07_F010.wav
085.wav,Ses01M_script03_1_F040.wav,Ses01M_impro07_F007.wav,Ses01M_impro07_F011.wav
086.wav,Ses01M_script03_1_F041.wav,Ses01M_impro07_F008.wav,Ses01M_impro07_F012.wav
087.wav,Ses01M_script03_2_F006.wav,Ses01M_impro07_F009.wav,Ses01M_impro07_F013.wav
088.wav,Ses01M_script03_2_F010.wav,Ses01M_impro07_F010.wav,Ses01M_impro07_F014.wav
089.wav,Ses01M_script03_2_F022.wav,Ses01M_impro07_F011.wav,Ses01M_impro07_F015.wav
090.wav,Ses01M_script03_2_F023.wav,Ses01M_impro07_F012.wav,Ses01M_impro07_F016.wav
091.wav,Ses01M_script03_2_F024.wav,Ses01M_impro07_F013.wav,Ses01M_impro07_F018.wav
092.wav,Ses01M_script03_2_F025.wav,Ses01M_impro07_F014.wav,Ses01M_impro07_F020.wav
093.wav,Ses01M_script03_2_F026.wav,Ses01M_impro07_F015.wav,Ses01M_impro07_F021.wav
094.wav,Ses01M_script03_2_F027.wav,Ses01M_impro07_F016.wav,Ses01M_impro07_F022.wav
095.wav,Ses01M_script03_2_F028.wav,Ses01M_impro07_F018.wav,Ses01M_impro07_F023.wav
096.wav,Ses01M_script03_2_F029.wav,Ses01M_impro07_F020.wav,Ses01M_impro07_F024.wav
097.wav,Ses01M_script03_2_F030.wav,Ses01M_impro07_F021.wav,Ses01M_impro07_F025.wav
098.wav,Ses01M_script03_2_F031.wav,Ses01M_impro07_F022.wav,Ses01M_impro07_F026.wav
099.wav,Ses01M_script03_2_F033.wav,Ses01M_impro07_F023.wav,Ses01M_impro07_F027.wav
100.wav,Ses01M_script03_2_F034.wav,Ses01M_impro07_F024.wav,Ses01M_script01_1_F025.wav
101.wav,Ses01M_script03_2_F035.wav,Ses01M_impro07_F025.wav,Ses01M_script01_1_F026.wav
102.wav,Ses01M_script03_2_F036.wav,Ses01M_impro07_F026.wav,Ses01M_script01_3_F000.wav
103.wav,Ses01M_script03_2_F037.wav,Ses01M_impro07_F027.wav,Ses01M_script01_3_F001.wav
104.wav,Ses01M_script03_2_F038.wav,Ses01M_script01_1_F025.wav,Ses01M_script01_3_F004.wav
105.wav,Ses01M_script03_2_F039.wav,Ses01M_script01_1_F026.wav,Ses01M_script01_3_F008.wav
106.wav,Ses01M_script03_2_F040.wav,Ses01M_script01_3_F000.wav,Ses01M_script01_3_F012.wav
107.wav,Ses01M_script03_2_F041.wav,Ses01M_script01_3_F001.wav,Ses01M_script01_3_F014.wav
108.wav,Ses01M_impro03_F026.wav,Ses01M_script01_3_F004.wav,Ses01M_script01_3_F015.wav
109.wav,Ses01M_impro06_F000.wav,Ses01M_script01_3_F008.wav,Ses01M_script01_3_F024.wav
110.wav,Ses01M_impro06_F001.wav,Ses01M_script01_3_F012.wav,Ses01M_script01_3_F025.wav
111.wav,Ses01M_impro06_F002.wav,Ses01M_script01_3_F014.wav,Ses01M_script01_3_F026.wav
112.wav,Ses01M_impro06_F007.wav,Ses01M_script01_3_F015.wav,Ses01M_script02_1_F007.wav
113.wav,Ses01M_impro06_F008.wav,Ses01M_script01_3_F024.wav,Ses01M_script02_1_F008.wav
114.wav,Ses01M_impro06_F009.wav,Ses01M_script01_3_F025.wav,Ses01M_impro06_F023.wav
115.wav,Ses01M_impro06_F010.wav,Ses01M_script01_3_F026.wav,Ses01M_impro06_F024.wav
116.wav,Ses01M_impro06_F011.wav,Ses01M_script02_1_F007.wav,Ses01M_impro06_F025.wav
117.wav,Ses01M_impro06_F012.wav,Ses01M_script02_1_F008.wav,Ses01M_impro06_F026.wav
118.wav,Ses01M_impro06_F013.wav,Ses01M_script02_2_F000.wav,Ses01M_impro06_F027.wav
119.wav,Ses01M_impro06_F014.wav,Ses01M_script02_2_F019.wav,Ses01M_impro06_F028.wav
120.wav,Ses01M_impro06_F015.wav,Ses01M_script02_2_F022.wav,Ses01M_impro07_F000.wav
121.wav,Ses01M_impro06_F016.wav,Ses01M_script02_2_F024.wav,Ses01M_impro07_F001.wav
122.wav,Ses01M_impro06_F017.wav,Ses01M_script02_2_F025.wav,Ses01M_impro07_F003.wav
123.wav,Ses01M_impro06_F018.wav,Ses01M_script02_2_F026.wav,Ses01M_impro07_F004.wav
124.wav,Ses01M_impro06_F019.wav,Ses01M_script02_2_F033.wav,Ses01M_impro07_F005.wav
125.wav,Ses01M_impro06_F020.wav,Ses01M_script02_2_F034.wav,Ses01M_impro07_F006.wav
126.wav,Ses01M_impro06_F021.wav,Ses01M_script02_2_F035.wav,Ses01M_impro07_F007.wav
127.wav,Ses01M_impro06_F022.wav,Ses01M_script02_2_F036.wav,Ses01M_impro07_F008.wav
128.wav,Ses01M_impro06_F023.wav,Ses01M_script02_2_F037.wav,Ses01M_impro07_F009.wav
129.wav,Ses01M_impro06_F024.wav,Ses01M_script02_2_F040.wav,Ses01M_impro07_F010.wav
130.wav,Ses01M_impro06_F025.wav,Ses01M_script02_2_F046.wav,Ses01M_impro07_F011.wav
131.wav,Ses01M_impro06_F026.wav,Ses01M_script02_2_F047.wav,Ses01M_impro07_F012.wav
132.wav,Ses01M_impro06_F027.wav,Ses01M_script03_1_F007.wav,Ses01M_impro07_F013.wav
133.wav,Ses01M_impro06_F028.wav,Ses01M_script03_1_F031.wav,Ses01M_impro07_F014.wav
134.wav,Ses01M_impro07_F000.wav,Ses01M_script03_1_F036.wav,Ses01M_impro07_F015.wav
135.wav,Ses01M_impro07_F001.wav,Ses01M_script03_1_F037.wav,Ses01M_impro07_F016.wav
136.wav,Ses01M_impro07_F003.wav,Ses01M_script03_1_F038.wav,Ses01M_impro07_F018.wav
137.wav,Ses01M_impro07_F004.wav,Ses01M_script03_1_F039.wav,Ses01M_impro07_F020.wav
138.wav,Ses01M_impro07_F005.wav,Ses01M_script03_1_F040.wav,Ses01M_impro07_F021.wav
139.wav,Ses01M_impro07_F006.wav,Ses01M_script03_1_F041.wav,Ses01M_impro07_F022.wav
140.wav,Ses01M_impro07_F007.wav,Ses01M_script03_2_F006.wav,Ses01M_impro07_F023.wav
141.wav,Ses01M_impro07_F008.wav,Ses01M_script03_2_F010.wav,Ses01M_impro07_F024.wav
142.wav,Ses01M_impro07_F009.wav,Ses01M_script03_2_F022.wav,Ses01M_impro07_F025.wav
143.wav,Ses01M_impro07_F010.wav,Ses01M_script03_2_F023.wav,Ses01M_impro07_F026.wav
144.wav,Ses01M_impro07_F011.wav,Ses01M_script03_2_F024.wav,Ses01M_impro07_F027.wav
145.wav,Ses01M_impro07_F012.wav,Ses01M_script03_2_F025.wav,Ses01M_script01_1_F025.wav
146.wav,Ses01M_impro07_F013.wav,Ses01M_script03_2_F026.wav,Ses01M_script01_1_F026.wav
147.wav,Ses01M_impro07_F014.wav,Ses01M_script03_2_F027.wav,Ses01M_script01_3_F000.wav
148.wav,Ses01M_impro07_F015.wav,Ses01M_script03_2_F028.wav,Ses01M_script01_3_F001.wav
149.wav,Ses01M_impro07_F016.wav,Ses01M_script03_2_F029.wav,Ses01M_script01_3_F004.wav
150.wav,Ses01M_impro07_F018.wav,Ses01M_script03_2_F030.wav,Ses01M_script01_3_F008.wav
151.wav,Ses01M_impro07_F020.wav,Ses01M_script03_2_F031.wav,Ses01M_script01_3_F012.wav
152.wav,Ses01M_impro07_F021.wav,Ses01M_script03_2_F033.wav,Ses01M_script01_3_F014.wav
153.wav,Ses01M_impro07_F022.wav,Ses01M_script03_2_F034.wav,Ses01M_script01_3_F015.wav
154.wav,Ses01M_impro07_F023.wav,Ses01M_script03_2_F035.wav,Ses01M_script01_3_F024.wav
155.wav,Ses01M_impro07_F024.wav,Ses01M_script03_2_F036.wav,Ses01M_script01_3_F025.wav
156.wav,Ses01M_impro07_F025.wav,Ses01M_script03_2_F037.wav,Ses01M_script01_3_F026.wav
157.wav,Ses01M_impro07_F026.wav,Ses01M_script03_2_F038.wav,Ses01M_script02_1_F007.wav
158.wav,Ses01M_impro07_F027.wav,Ses01M_script03_2_F039.wav,Ses01M_script02_1_F008.wav
159.wav,Ses01M_script01_1_F025.wav,Ses01M_script03_2_F040.wav,Ses01M_script02_2_F000.wav
160.wav,Ses01M_script01_1_F026.wav,Ses01M_script03_2_F041.wav,Ses01M_script02_2_F019.wav
161.wav,Ses01M_script01_3_F000.wav,Ses01M_impro03_F026.wav,Ses01M_script02_2_F022.wav
162.wav,Ses01M_script01_3_F001.wav,Ses01M_impro06_F000.wav,Ses01M_script02_2_F024.wav
163.wav,Ses01M_script01_3_F004.wav,Ses01M_impro06_F001.wav,Ses01M_script02_2_F025.wav
164.wav,Ses01M_script01_3_F008.wav,Ses01M_impro06_F002.wav,Ses01M_script02_2_F026.wav
165.wav,Ses01M_script01_3_F012.wav,Ses01M_impro06_F007.wav,Ses01M_script02_2_F033.wav
166.wav,Ses01M_script01_3_F014.wav,Ses01M_impro06_F008.wav,Ses01M_script02_2_F034.wav
167.wav,Ses01M_script01_3_F015.wav,Ses01M_impro06_F009.wav,Ses01M_script02_2_F035.wav
168.wav,Ses01M_script01_3_F024.wav,Ses01M_impro06_F010.wav,Ses01M_script02_2_F036.wav
169.wav,Ses01M_script01_3_F025.wav,Ses01M_impro06_F011.wav,Ses01M_script02_2_F037.wav
170.wav,Ses01M_script01_3_F026.wav,Ses01M_impro06_F012.wav,Ses01M_script02_2_F040.wav
171.wav,Ses01M_script02_1_F007.wav,Ses01M_impro06_F013.wav,Ses01M_script02_2_F046.wav
172.wav,Ses01M_script02_1_F008.wav,Ses01M_impro06_F014.wav,Ses01M_script02_2_F047.wav
173.wav,Ses01M_script02_2_F000.wav,Ses01M_impro06_F015.wav,Ses01M_script03_1_F007.wav
174.wav,Ses01M_script02_2_F019.wav,Ses01M_impro06_F016.wav,Ses01M_script03_1_F031.wav
175.wav,Ses01M_script02_2_F022.wav,Ses01M_impro06_F017.wav,Ses01M_script03_1_F036.wav
176.wav,Ses01M_script02_2_F024.wav,Ses01M_impro06_F018.wav,Ses01M_script03_1_F037.wav
177.wav,Ses01M_script02_2_F025.wav,Ses01M_impro06_F019.wav,Ses01M_script03_1_F038.wav
178.wav,Ses01M_script02_2_F026.wav,Ses01M_impro06_F020.wav,Ses01M_script03_1_F039.wav
179.wav,Ses01M_script02_2_F033.wav,Ses01M_impro06_F021.wav,Ses01M_script03_1_F040.wav
180.wav,Ses01M_script02_2_F034.wav,Ses01M_impro06_F022.wav,Ses01M_script03_1_F041.wav
181.wav,Ses01M_script02_2_F035.wav,Ses01M_impro06_F023.wav,Ses01M_script03_2_F006.wav
182.wav,Ses01M_script02_2_F036.wav,Ses01M_impro06_F024.wav,Ses01M_script03_2_F010.wav
183.wav,Ses01M_script02_2_F037.wav,Ses01M_impro06_F025.wav,Ses01M_script03_2_F022.wav
184.wav,Ses01M_script02_2_F040.wav,Ses01M_impro06_F026.wav,Ses01M_script03_2_F023.wav
185.wav,Ses01M_script02_2_F046.wav,Ses01M_impro06_F027.wav,Ses01M_script03_2_F024.wav
186.wav,Ses01M_script02_2_F047.wav,Ses01M_impro06_F028.wav,Ses01M_script03_2_F025.wav
187.wav,Ses01M_script03_1_F007.wav,Ses01M_impro07_F000.wav,Ses01M_script03_2_F026.wav
188.wav,Ses01M_script03_1_F031.wav,Ses01M_impro07_F001.wav,Ses01M_script03_2_F027.wav
189.wav,Ses01M_script03_1_F036.wav,Ses01M_impro07_F003.wav,Ses01M_script03_2_F028.wav
190.wav,Ses01M_script03_1_F037.wav,Ses01M_impro07_F004.wav,Ses01M_script03_2_F029.wav
191.wav,Ses01M_script03_1_F038.wav,Ses01M_impro07_F005.wav,Ses01M_script03_2_F030.wav
192.wav,Ses01M_script03_1_F039.wav,Ses01M_impro07_F006.wav,Ses01M_script03_2_F031.wav
193.wav,Ses01M_script03_1_F040.wav,Ses01M_impro07_F007.wav,Ses01M_script03_2_F033.wav
194.wav,Ses01M_script03_1_F041.wav,Ses01M_impro07_F008.wav,Ses01M_script03_2_F034.wav
195.wav,Ses01M_script03_2_F006.wav,Ses01M_impro07_F009.wav,Ses01M_script03_2_F035.wav
196.wav,Ses01M_script03_2_F010.wav,Ses01M_impro07_F010.wav,Ses01M_script03_2_F036.wav
197.wav,Ses01M_script03_2_F022.wav,Ses01M_impro07_F011.wav,Ses01M_script03_2_F037.wav
198.wav,Ses01M_script03_2_F023.wav,Ses01M_impro07_F012.wav,Ses01M_script03_2_F038.wav
199.wav,Ses01M_script03_2_F024.wav,Ses01M_impro07_F013.wav,Ses01M_script03_2_F039.wav
200.wav,Ses01M_script03_2_F025.wav,Ses01M_impro07_F014.wav,Ses01M_script03_2_F040.wav
201.wav,Ses01M_script03_2_F026.wav,Ses01M_impro07_F015.wav,Ses01M_script03_2_F041.wav
202.wav,Ses01M_script03_2_F027.wav,Ses01M_impro07_F016.wav,Ses01M_impro03_F026.wav
203.wav,Ses01M_script03_2_F028.wav,Ses01M_impro07_F018.wav,Ses01M_impro06_F000.wav
204.wav,Ses01M_script03_2_F029.wav,Ses01M_impro07_F020.wav,Ses01M_impro06_F001.wav
205.wav,Ses01M_script03_2_F030.wav,Ses01M_impro07_F021.wav,Ses01M_impro06_F002.wav
206.wav,Ses01M_script03_2_F031.wav,Ses01M_impro07_F022.wav,Ses01M_impro06_F007.wav
207.wav,Ses01M_script03_2_F033.wav,Ses01M_impro07_F023.wav,Ses01M_impro06_F008.wav
208.wav,Ses01M_script03_2_F034.wav,Ses01M_impro07_F024.wav,Ses01M_impro06_F009.wav
209.wav,Ses01M_script03_2_F035.wav,Ses01M_impro07_F025.wav,Ses01M_impro06_F010.wav
210.wav,Ses01M_script03_2_F036.wav,Ses01M_impro07_F026.wav,Ses01M_impro06_F011.wav
211.wav,Ses01M_script03_2_F037.wav,Ses01M_impro07_F027.wav,Ses01M_impro06_F012.wav
212.wav,Ses01M_script03_2_F038.wav,Ses01M_script01_1_F025.wav,Ses01M_impro06_F013.wav
213.wav,Ses01M_script03_2_F039.wav,Ses01M_script01_1_F026.wav,Ses01M_impro06_F014.wav
214.wav,Ses01M_script03_2_F040.wav,Ses01M_script01_3_F000.wav,Ses01M_impro06_F015.wav
215.wav,Ses01M_script03_2_F041.wav,Ses01M_script01_3_F001.wav,Ses01M_impro06_F016.wav
216.wav,Ses01M_impro03_F026.wav,Ses01M_script01_3_F004.wav,Ses01M_impro06_F017.wav
217.wav,Ses01M_impro06_F000.wav,Ses01M_script01_3_F008.wav,Ses01M_impro06_F018.wav
218.wav,Ses01M_impro06_F001.wav,Ses01M_script01_3_F012.wav,Ses01M_impro06_F019.wav
219.wav,Ses01M_impro06_F002.wav,Ses01M_script01_3_F014.wav,Ses01M_impro06_F020.wav
220.wav,Ses01M_impro06_F007.wav,Ses01M_script01_3_F015.wav,Ses01M_impro06_F021.wav
221.wav,Ses01M_impro06_F008.wav,Ses01M_script01_3_F024.wav,Ses01M_impro06_F022.wav
222.wav,Ses01M_impro06_F009.wav,Ses01M_script01_3_F025.wav,Ses01M_impro06_F023.wav
223.wav,Ses01M_impro06_F010.wav,Ses01M_script01_3_F026.wav,Ses01M_impro06_F024.wav
224.wav,Ses01M_impro06_F011.wav,Ses01M_script02_1_F007.wav,Ses01M_impro06_F025.wav
225.wav,Ses01M_impro06_F012.wav,Ses01M_script02_1_F008.wav,Ses01M_impro06_F026.wav
226.wav,Ses01M_impro06_F013.wav,Ses01M_script02_2_F000.wav,Ses01M_impro06_F027.wav
227.wav,Ses01M_impro06_F014.wav,Ses01M_script02_2_F019.wav,Ses01M_impro06_F028.wav
228.wav,Ses01M_impro06_F015.wav,Ses01M_script02_2_F022.wav,Ses01M_impro07_F000.wav
229.wav,Ses01M_impro06_F016.wav,Ses01M_script02_2_F024.wav,Ses01M_impro07_F001.wav
230.wav,Ses01M_impro06_F017.wav,Ses01M_script02_2_F025.wav,Ses01M_impro07_F003.wav
231.wav,Ses01M_impro06_F018.wav,Ses01M_script02_2_F026.wav,Ses01M_impro06_F012.wav
232.wav,Ses01M_impro06_F019.wav,Ses01M_script02_2_F033.wav,Ses01M_impro06_F013.wav
233.wav,Ses01M_impro06_F020.wav,Ses01M_script02_2_F034.wav,Ses01M_impro06_F014.wav
234.wav,Ses01M_impro06_F021.wav,Ses01M_script02_2_F035.wav,Ses01M_impro06_F015.wav
235.wav,Ses01M_impro06_F022.wav,Ses01M_script02_2_F036.wav,Ses01M_impro06_F016.wav
236.wav,Ses01M_impro06_F023.wav,Ses01M_script02_2_F037.wav,Ses01M_impro06_F017.wav
237.wav,Ses01M_impro06_F024.wav,Ses01M_script02_2_F040.wav,Ses01M_impro06_F018.wav
238.wav,Ses01M_impro06_F025.wav,Ses01M_script02_2_F046.wav,Ses01M_impro06_F019.wav
239.wav,Ses01M_impro06_F026.wav,Ses01M_script02_2_F047.wav,Ses01M_impro06_F020.wav
240.wav,Ses01M_impro06_F027.wav,Ses01M_script03_1_F007.wav,Ses01M_impro06_F021.wav
241.wav,Ses01M_impro06_F028.wav,Ses01M_script03_1_F031.wav,Ses01M_impro06_F022.wav
242.wav,Ses01M_impro07_F000.wav,Ses01M_script03_1_F036.wav,Ses01M_impro06_F023.wav
243.wav,Ses01M_impro07_F001.wav,Ses01M_script03_1_F037.wav,Ses01M_impro06_F024.wav
244.wav,Ses01M_impro07_F003.wav,Ses01M_script03_1_F038.wav,Ses01M_impro06_F025.wav
245.wav,Ses01M_impro07_F004.wav,Ses01M_script03_1_F039.wav,Ses01M_impro06_F026.wav
246.wav,Ses01M_impro07_F005.wav,Ses01M_script03_1_F040.wav,Ses01M_impro06_F027.wav
247.wav,Ses01M_impro07_F006.wav,Ses01M_script03_1_F041.wav,Ses01M_impro06_F028.wav
248.wav,Ses01M_impro07_F007.wav,Ses01M_script03_2_F006.wav,Ses01M_impro07_F000.wav
249.wav,Ses01M_impro07_F008.wav,Ses01M_script03_2_F010.wav,Ses01M_impro07_F001.wav
250.wav,Ses01M_impro07_F009.wav,Ses01M_script03_2_F022.wav,Ses01M_impro07_F003.wav
251.wav,Ses01M_impro07_F010.wav,Ses01M_script03_2_F023.wav,Ses01M_impro07_F004.wav
252.wav,Ses01M_impro07_F011.wav,Ses01M_script03_2_F024.wav,Ses01M_impro07_F005.wav
253.wav,Ses01M_impro07_F012.wav,Ses01M_script03_2_F025.wav,Ses01M_impro06_F009.wav
254.wav,Ses01M_impro07_F013.wav,Ses01M_script03_2_F026.wav,Ses01M_impro06_F010.wav
255.wav,Ses01M_impro07_F014.wav,Ses01M_script03_2_F027.wav,Ses01M_impro06_F011.wav
